1000 2000
0 374 428
1 374 428
0 468 627
0 327 82
1 327 82
0 218 356
0 875 766
0 987 39
0 616 595
1 875 766
0 661 323
0 470 391
1 661 323
0 617 269
0 155 273
0 890 764
0 546 762
0 494 763
0 130 582
1 494 763
0 841 139
0 62 920
0 537 210
0 243 189
0 562 933
0 354 535
1 987 39
1 616 595
0 65 264
0 870 566
1 155 273
0 601 949
1 546 762
0 683 555
0 787 954
0 5 533
0 420 605
0 666 646
0 653 643
0 202 163
0 756 89
0 835 245
0 224 455
1 756 89
1 653 643
1 787 954
0 598 827
0 827 39
1 224 455
0 910 859
0 691 386
0 242 1
0 243 395
0 641 342
0 266 886
0 739 627
1 827 39
0 498 516
0 110 327
1 65 264
1 218 356
0 570 64
0 963 139
1 870 566
0 674 942
0 71 15
0 333 335
0 695 157
0 942 762
0 698 737
1 420 605
0 274 588
0 720 702
1 617 269
0 723 964
0 475 999
0 81 832
0 443 765
1 333 335
1 890 764
1 963 139
1 475 999
0 21 565
0 826 978
0 773 289
1 5 533
0 186 439
1 62 920
1 71 15
1 698 737
1 243 189
0 625 822
0 471 855
1 274 588
0 320 337
1 720 702
0 218 443
0 787 925
1 562 933
1 695 157
0 409 154
0 221 514
0 501 18
1 81 832
1 498 516
0 355 691
1 471 855
1 835 245
0 385 182
0 130 958
0 947 708
1 910 859
1 691 386
0 344 498
0 456 875
0 359 969
0 232 449
0 720 260
0 14 992
1 841 139
0 449 925
1 470 391
0 573 344
0 110 234
1 468 627
0 188 256
0 199 934
0 340 806
1 601 949
0 715 473
1 715 473
0 320 110
1 202 163
0 802 265
0 993 79
0 426 484
0 177 293
0 486 478
1 243 395
0 331 416
1 177 293
1 130 582
1 218 443
0 339 969
0 575 570
0 266 896
0 665 817
0 718 58
1 344 498
0 210 613
0 635 862
0 897 461
1 110 234
0 305 410
0 259 503
0 466 178
1 720 260
1 537 210
1 210 613
0 347 812
0 964 425
0 546 978
0 282 349
0 365 388
0 715 558
0 127 541
1 130 958
0 816 973
1 110 327
1 221 514
1 739 627
0 367 235
0 949 842
0 739 528
0 124 269
0 531 503
1 635 862
1 188 256
1 124 269
1 443 765
1 127 541
0 21 688
0 541 893
0 248 220
0 590 878
1 641 342
1 787 925
0 994 160
0 303 866
0 226 136
0 937 722
0 353 600
1 570 64
0 502 192
0 447 383
0 12 340
0 25 377
0 340 314
0 35 19
0 717 100
0 220 390
0 382 959
1 993 79
0 326 366
0 266 143
0 300 284
1 320 337
0 783 186
0 675 446
1 331 416
0 328 381
0 887 459
1 21 688
0 46 501
0 497 534
0 723 284
1 266 896
1 826 978
0 128 131
0 897 591
0 618 567
0 819 954
0 522 880
1 665 817
1 802 265
1 522 880
0 648 433
0 183 59
0 492 796
0 729 567
0 742 125
0 690 848
0 861 753
1 199 934
0 797 511
0 43 159
0 180 675
1 625 822
0 403 208
0 634 205
0 635 460
0 187 135
1 449 925
0 293 312
1 531 503
1 816 973
1 12 340
1 742 125
0 131 321
0 149 52
1 282 349
0 250 634
0 552 318
0 370 269
1 365 388
0 690 624
0 906 199
0 610 118
1 25 377
0 327 898
1 486 478
0 609 317
0 361 800
0 874 552
0 334 738
0 126 106
0 18 319
0 695 226
0 565 942
0 90 601
1 367 235
1 994 160
0 909 574
1 35 19
1 46 501
0 259 454
0 742 483
0 11 909
0 731 31
1 773 289
1 634 205
0 101 958
0 848 649
0 114 816
0 154 848
0 922 57
1 447 383
0 296 745
0 738 821
1 242 1
0 389 536
0 464 874
0 348 350
1 359 969
0 371 284
1 565 942
0 134 421
0 878 760
0 842 186
0 637 940
1 683 555
1 426 484
0 779 594
1 541 893
0 509 231
0 390 426
0 981 464
1 598 827
0 630 201
0 279 883
0 361 360
0 63 471
1 942 762
1 126 106
0 623 785
0 612 395
0 752 161
0 776 929
1 739 528
0 983 405
0 860 696
1 618 567
1 18 319
1 666 646
1 266 886
1 90 601
0 995 29
1 101 958
0 927 171
0 959 2
0 18 596
0 537 520
1 927 171
0 584 663
0 939 932
1 371 284
0 419 820
0 504 597
0 629 114
0 831 798
0 904 756
0 119 205
0 974 501
1 21 565
0 610 309
0 155 196
0 31 717
0 871 998
0 265 714
1 717 100
0 45 310
0 357 908
1 131 321
0 693 46
0 683 610
1 409 154
0 679 678
0 646 903
0 668 494
0 228 515
1 637 940
0 510 787
0 338 103
0 822 902
0 229 781
1 909 574
1 831 798
0 820 297
0 289 988
0 748 555
0 233 411
0 534 741
0 55 569
0 152 859
0 291 334
0 268 324
0 690 135
0 61 709
0 433 27
0 138 535
0 579 258
0 142 377
0 709 97
1 501 18
1 623 785
0 739 880
0 918 115
0 830 273
0 335 431
0 701 261
0 498 107
1 149 52
0 544 988
1 964 425
0 202 431
0 72 645
1 939 932
0 967 142
0 646 389
0 773 268
0 617 300
0 308 313
0 177 489
0 859 413
1 232 449
0 845 453
0 914 686
0 771 170
0 664 631
0 214 296
1 575 570
1 897 591
1 552 318
0 112 598
0 650 293
0 146 784
1 328 381
0 581 156
0 98 66
0 745 980
0 222 391
0 57 420
0 289 32
1 355 691
1 214 296
1 646 389
0 39 94
1 859 413
0 698 895
1 248 220
0 189 847
0 859 580
0 663 970
1 259 503
1 456 875
0 133 260
0 409 529
0 962 780
0 281 125
1 226 136
0 583 771
0 863 467
0 694 428
0 713 529
0 9 736
1 742 483
0 399 958
0 856 744
1 63 471
0 828 311
0 484 344
1 715 558
1 259 454
0 856 903
1 842 186
0 43 409
0 22 696
1 183 59
0 441 359
1 433 27
0 601 157
1 502 192
1 783 186
0 805 269
0 573 614
1 326 366
0 616 289
1 340 314
0 405 302
1 9 736
0 177 14
0 575 838
1 509 231
0 809 798
1 819 954
0 234 590
0 419 48
0 782 418
0 717 660
1 390 426
1 357 908
0 342 959
0 822 770
1 878 760
0 518 368
0 832 598
0 278 521
0 279 53
0 977 328
1 142 377
0 840 915
0 307 632
1 234 590
1 981 464
0 850 977
1 590 878
0 942 628
0 343 89
0 177 60
0 964 272
0 906 479
1 510 787
0 335 355
0 149 460
1 731 31
1 128 131
1 289 988
1 289 32
0 850 121
0 547 808
0 356 530
1 43 409
0 172 665
0 290 8
0 560 505
0 192 747
0 592 107
0 914 672
0 30 548
1 518 368
1 861 753
1 592 107
0 792 753
1 348 350
1 856 903
1 403 208
1 335 355
0 536 153
1 114 816
0 765 512
0 708 291
1 630 201
0 392 600
0 762 897
1 497 534
0 925 161
0 949 826
0 633 392
1 189 847
0 335 455
0 130 166
0 615 698
0 299 630
0 813 65
0 910 259
0 939 546
0 583 914
0 198 520
0 797 717
0 669 246
1 134 421
1 11 909
0 677 1
0 104 942
1 233 411
0 689 168
0 436 334
0 633 949
1 822 770
1 850 121
0 515 363
0 881 596
0 422 492
1 762 897
1 389 536
0 652 283
0 20 155
0 868 39
0 577 411
0 1000 196
